3962	14	3927	1926-##-##	1929-##-##
169	7	2201	1991-##-##	2001-##-##
10755	22	10756	2011-##-##	2013-##-##
1042	18	1467	1871-##-##	####-##-##
1078	1	122	1790-##-##	1871-##-##
4346	14	3700	2007-##-##	2011-##-##
8979	17	5817	1895-##-##	1895-##-##
8498	17	5881	2009-##-##	2009-##-##
2183	7	2190	1942-##-##	1942-##-##
8883	17	6175	1880-##-##	1880-##-##
40	0	41	1802-##-##	1807-##-##
4740	14	4561	2004-##-##	####-##-##
9527	21	9528	1856-##-##	1856-##-##
3679	14	3681	1956-##-##	1977-##-##
2642	9	2552	2009-##-##	####-##-##
1733	2	1671	1982-##-##	####-##-##
8433	17	5874	1980-##-##	1980-##-##
1030	1	1031	####-##-##	2015-##-##
8497	17	8396	2007-##-##	2007-##-##
7725	17	6466	2002-##-##	2002-##-##
8838	17	8205	1980-##-##	1980-##-##
2727	9	2480	1996-##-##	####-##-##
3969	14	3496	1993-##-##	2003-##-##
9422	20	5798	2014-##-##	2014-##-##
567	1	125	1790-##-##	1871-##-##
1583	1	122	1790-##-##	1871-##-##
7695	17	7338	1981-##-##	1981-##-##
2541	9	2482	1929-##-##	1930-##-##
7073	17	6442	1988-##-##	1988-##-##
1542	1	148	1790-##-##	1968-##-##
5764	23	12539	####-##-##	1969-##-##
254	1	148	1790-##-##	1968-##-##
5240	15	4971	2017-##-##	####-##-##
4511	14	4512	2016-##-##	####-##-##
972	1	122	1790-##-##	1871-##-##
897	1	866	2015-##-##	####-##-##
5854	17	5855	1967-##-##	1967-##-##
169	5	1946	1995-##-##	####-##-##
1107	1	815	2016-##-##	####-##-##
5736	17	2106	1960-##-##	1960-##-##
5893	17	5894	1943-##-##	1943-##-##
509	1	511	1944-##-##	1990-##-##
4998	15	4971	2015-##-##	####-##-##
6500	17	6083	2005-##-##	2005-##-##
177	1	123	1871-##-##	####-##-##
1070	1	411	####-##-##	2016-##-##
7979	17	7981	1981-##-##	1981-##-##
9463	21	9464	1999-##-##	2003-##-##
9419	20	6012	1964-##-##	1964-##-##
4687	14	4688	1980-##-##	1985-##-##
1682	2	1672	2000-##-##	####-##-##
11824	22	10883	1989-##-##	1994-##-##
7357	17	6013	1991-##-##	1991-##-##
3533	14	3458	2001-##-##	2005-##-##
6884	17	7815	1834-##-##	1834-##-##
5081	15	4973	####-##-##	2015-##-##
2553	17	7433	1953-##-##	1953-##-##
206	1	207	####-##-##	2009-##-##
5665	16	5669	1971-##-##	1971-##-##
1906	17	7624	2013-##-##	2013-##-##
2156	6	30	####-##-##	1917-##-##
1858	14	4521	1999-##-##	2000-##-##
7307	17	8881	2006-##-##	2006-##-##
8066	20	8067	1946-##-##	1946-##-##
2078	6	170	1990-##-##	####-##-##
7205	17	6897	1988-##-##	1988-##-##
79	0	82	1861-##-##	1928-##-##
942	1	865	####-##-##	2014-##-##
7312	17	7606	2010-##-##	2010-##-##
5244	15	4973	####-##-##	2012-##-##
5331	15	4971	2017-##-##	####-##-##
473	5	1987	1958-##-##	####-##-##
2232	14	4368	1989-##-##	2009-##-##
3066	11	3128	1976-##-##	2012-##-##
5119	15	4985	####-##-##	1971-##-##
5083	15	4971	2017-##-##	####-##-##
5596	16	5608	2010-##-##	2010-##-##
3394	13	3252	1960-##-##	####-##-##
1042	18	1651	1871-##-##	####-##-##
9103	17	6245	1810-##-##	1810-##-##
21	0	22	####-##-##	2015-##-##
2788	9	2495	1966-##-##	####-##-##
4445	14	4308	1931-##-##	1935-##-##
5258	15	4973	####-##-##	2015-##-##
4681	14	4682	1998-##-##	2003-##-##
2246	8	2245	1943-##-##	1951-##-##
8391	20	6937	2014-##-##	2014-##-##
8032	17	8034	1999-##-##	1999-##-##
10009	22	10013	2004-##-##	2005-##-##
5431	16	5463	1974-##-##	1974-##-##
2167	6	2099	1986-##-##	2016-##-##
1692	2	1672	1995-##-##	####-##-##
1305	1	129	1920-##-##	####-##-##
4782	14	3454	2017-##-##	####-##-##
4048	14	4049	1823-##-##	1829-##-##
3295	13	3255	1862-##-##	####-##-##
1714	2	1671	2007-##-##	####-##-##
372	1	370	2015-##-##	####-##-##
5737	17	2106	1965-##-##	1965-##-##
6705	22	9690	2010-##-##	2014-##-##
7990	17	7554	1982-##-##	1982-##-##
8691	20	6039	1971-##-##	1971-##-##
124	1	125	1790-##-##	1871-##-##
5886	17	5888	2010-##-##	2010-##-##
5358	15	4973	####-##-##	2015-##-##
5364	15	4973	####-##-##	2015-##-##
5611	16	5613	1968-##-##	1968-##-##
2794	14	3475	1985-##-##	1994-##-##
9001	17	7709	1981-##-##	1981-##-##
3337	13	3252	1966-##-##	####-##-##
1178	1	953	1920-##-##	####-##-##
1796	3	1776	####-##-##	2007-##-##
3305	13	3255	1840-##-##	####-##-##
121	1	123	1871-##-##	####-##-##
6350	20	6353	1994-##-##	1994-##-##
5678	16	5684	1948-##-##	1948-##-##
344	1	122	1790-##-##	1871-##-##
8661	20	9305	2014-##-##	2014-##-##
1018	1	863	####-##-##	2014-##-##
1582	1	122	1790-##-##	1871-##-##
4869	14	3785	1811-##-##	1796-##-##
1276	1	129	1920-##-##	####-##-##
5136	15	4971	2017-##-##	####-##-##
1124	1	1125	####-##-##	2015-##-##
761	1	129	1790-##-##	1871-##-##
5081	15	4971	2016-##-##	####-##-##
8679	17	8680	2007-##-##	2007-##-##
1327	1	129	1920-##-##	####-##-##
7009	17	7011	2012-##-##	2012-##-##
2407	20	8286	1999-##-##	1999-##-##
1789	3	1778	2007-##-##	####-##-##
721	1	123	1871-##-##	####-##-##
5504	17	6381	2006-##-##	2006-##-##
3884	14	3885	2003-##-##	2007-##-##
135	18	9134	1967-##-##	####-##-##
367	1	123	1871-##-##	####-##-##
6082	17	6083	1979-##-##	1979-##-##
426	1	522	2015-##-##	####-##-##
3979	14	3982	1995-##-##	2001-##-##
1739	2	1671	1990-##-##	####-##-##
1579	1	552	1618-##-##	1647-##-##
8284	17	5762	1992-##-##	1992-##-##
3940	14	3648	1848-##-##	1848-##-##
1121	1	1122	2007-##-##	2008-##-##
7632	17	6067	2003-##-##	2003-##-##
861	1	862	2015-##-##	####-##-##
6205	20	6867	1980-##-##	1980-##-##
12169	22	10430	2008-##-##	2011-##-##
6846	17	6290	1984-##-##	1984-##-##
8016	20	7814	2000-##-##	2000-##-##
544	1	545	1937-##-##	####-##-##
7897	17	6219	2009-##-##	2009-##-##
9013	17	6465	1992-##-##	1992-##-##
100	5	1984	2000-##-##	####-##-##
2707	9	2480	1992-##-##	####-##-##
9196	20	6780	1908-##-##	1908-##-##
5700	16	5706	2001-##-##	2001-##-##
6195	20	6196	1960-##-##	1960-##-##
8737	17	7487	2014-##-##	2014-##-##
1548	1	148	1790-##-##	1968-##-##
5850	20	8150	2014-##-##	2014-##-##
12548	23	12549	1972-##-##	1976-##-##
3820	14	3822	2003-##-##	2007-##-##
1906	17	6001	2007-##-##	2007-##-##
2340	8	2341	1943-##-##	1957-##-##
4674	14	3963	1990-##-##	2011-##-##
8405	17	6593	1993-##-##	1993-##-##
8968	17	6326	1961-##-##	1961-##-##
6885	17	6886	1931-##-##	1931-##-##
5351	15	4973	####-##-##	2015-##-##
2937	10	2939	1971-##-##	1976-##-##
8382	17	6554	1963-##-##	1963-##-##
7617	17	7034	1993-##-##	1993-##-##
396	5	1977	1991-##-##	1991-##-##
11986	22	5585	2004-##-##	2006-##-##
2860	14	3802	1999-##-##	2002-##-##
3181	11	3109	1980-##-##	2009-##-##
7685	17	7686	1998-##-##	1998-##-##
9054	17	9055	1971-##-##	1971-##-##
7831	17	7832	2001-##-##	2001-##-##
8645	17	8214	1828-##-##	1828-##-##
9516	21	9457	1935-##-##	1935-##-##
96	0	97	####-##-##	2015-##-##
6312	17	6317	1997-##-##	1997-##-##
5755	16	2425	1992-##-##	1992-##-##
1042	18	571	1871-##-##	####-##-##
9386	23	12511	####-##-##	1998-##-##
1838	4	1839	1950-##-##	1950-##-##
11401	22	10984	2013-##-##	2013-##-##
804	1	122	1790-##-##	1871-##-##
977	1	353	####-##-##	2015-##-##
3222	12	2174	1987-##-##	####-##-##
1786	3	1778	2007-##-##	####-##-##
271	1	272	1965-##-##	####-##-##
8216	17	8218	1987-##-##	1987-##-##
1462	1	1456	2005-##-##	####-##-##
4447	14	3822	1999-##-##	2003-##-##
6027	17	6028	1964-##-##	1964-##-##
10961	22	10962	1999-##-##	2000-##-##
5335	15	4971	2016-##-##	####-##-##
557	1	558	1994-##-##	####-##-##
2121	6	2122	1423-##-##	1806-##-##
2165	15	5076	2015-##-##	####-##-##
3569	17	6031	1956-##-##	1956-##-##
3560	14	3516	1974-##-##	1979-##-##
5247	15	4973	####-##-##	2016-##-##
4994	15	4973	####-##-##	2015-##-##
5553	16	5566	2008-##-##	2008-##-##
6325	17	7410	2002-##-##	2002-##-##
5198	15	5113	1975-##-##	####-##-##
480	1	481	1938-##-##	####-##-##
9026	17	6565	1971-##-##	1971-##-##
4970	15	4971	2017-##-##	####-##-##
5065	15	4971	2016-##-##	####-##-##
5106	15	4983	####-##-##	2014-##-##
999	1	122	1790-##-##	1871-##-##
1897	9	2614	2009-##-##	2013-##-##
4192	14	4747	1999-##-##	2002-##-##
3168	17	5955	2013-##-##	2013-##-##
5411	16	5520	2008-##-##	2008-##-##
4483	17	8098	1993-##-##	1993-##-##
7723	17	7724	2007-##-##	2007-##-##
12196	22	10539	2008-##-##	####-##-##
8216	17	8217	1987-##-##	1987-##-##
901	1	866	2015-##-##	####-##-##
443	1	304	2015-##-##	####-##-##
8970	17	6491	1836-##-##	1836-##-##
2933	17	7841	1993-##-##	1993-##-##
1131	1	1132	1994-##-##	2007-##-##
7718	20	7719	1998-##-##	1998-##-##
3035	17	7743	2001-##-##	2001-##-##
7024	17	5935	1880-##-##	1880-##-##
2820	9	2515	1922-##-##	1936-##-##
4644	14	3481	1989-##-##	1994-##-##
8404	17	6299	1985-##-##	1985-##-##
9285	20	9270	2000-##-##	2000-##-##
5431	16	5433	1998-##-##	1998-##-##
9410	20	5762	1914-##-##	1914-##-##
8201	17	6213	2008-##-##	2008-##-##
2203	14	4288	1977-##-##	1981-##-##
3569	14	3565	1948-##-##	1948-##-##
2235	17	6507	1997-##-##	1997-##-##
4848	14	4657	2002-##-##	2012-##-##
2046	6	2009	1867-##-##	1918-##-##
6742	17	6147	2016-##-##	2016-##-##
7781	20	7784	2009-##-##	2009-##-##
8807	17	8505	2010-##-##	2010-##-##
3638	14	3639	1931-##-##	1931-##-##
3115	17	6510	2016-##-##	2016-##-##
2448	20	9271	1986-##-##	1986-##-##
4452	14	4453	2008-##-##	2009-##-##
5774	16	5776	1984-##-##	1984-##-##
5639	16	5640	2002-##-##	2002-##-##
1911	4	1901	1899-##-##	1899-##-##
3994	14	3456	2010-##-##	2015-##-##
4759	14	4113	2009-##-##	2009-##-##
9466	21	9440	2014-##-##	2014-##-##
9509	21	9493	1231-##-##	1231-##-##
5053	15	4973	####-##-##	2015-##-##
2426	17	6473	1976-##-##	1976-##-##
5026	15	4971	2017-##-##	####-##-##
431	1	190	2015-##-##	####-##-##
4355	17	7682	1996-##-##	1996-##-##
8922	17	6572	2006-##-##	2006-##-##
4108	14	3444	2006-##-##	2014-##-##
6454	17	6458	1980-##-##	1980-##-##
4968	14	4600	1963-##-##	1966-##-##
3234	12	170	1984-##-##	2010-##-##
7146	17	7147	1988-##-##	1988-##-##
2550	17	6933	1957-##-##	1957-##-##
219	1	220	2015-##-##	####-##-##
4005	14	4006	1989-##-##	1997-##-##
8045	17	5815	2014-##-##	2014-##-##
1878	4	1833	1980-##-##	1980-##-##
2479	9	2585	1998-##-##	####-##-##
2418	20	5762	1965-##-##	1965-##-##
5344	15	4971	2017-##-##	####-##-##
5551	16	5474	1997-##-##	1997-##-##
1777	3	1778	2007-##-##	####-##-##
7781	17	7782	2009-##-##	2009-##-##
205	1	206	1997-##-##	####-##-##
8502	17	6541	2007-##-##	2007-##-##
1979	6	2147	1950-##-##	####-##-##
5197	15	5113	2007-##-##	####-##-##
333	1	294	####-##-##	2015-##-##
5359	15	4973	####-##-##	2015-##-##
4271	14	4272	1958-##-##	1990-##-##
44	5	1962	1967-##-##	####-##-##
7000	17	7001	1945-##-##	1945-##-##
6773	17	6774	2011-##-##	2011-##-##
5402	16	5405	1953-##-##	1953-##-##
3651	14	3652	2009-##-##	2013-##-##
10484	22	10145	1986-##-##	1987-##-##
7327	20	7328	2003-##-##	2003-##-##
2057	6	2058	####-##-##	1328-##-##
1172	1	953	1920-##-##	####-##-##
1109	1	815	2016-##-##	####-##-##
3194	12	3195	1970-##-##	####-##-##
1108	1	815	2016-##-##	####-##-##
8746	17	6864	2008-##-##	2008-##-##
2878	17	6838	2007-##-##	2007-##-##
12200	22	5582	2001-##-##	2004-##-##
5013	15	4973	####-##-##	2015-##-##
4617	14	4383	1984-##-##	1986-##-##
3036	10	2924	1837-##-##	1848-##-##
2212	7	2213	2007-##-##	2009-##-##
5551	16	5552	1944-##-##	1944-##-##
3405	13	3263	1982-##-##	####-##-##
4692	14	4693	2011-##-##	2013-##-##
11532	22	10849	2006-##-##	2009-##-##
2847	14	3822	2007-##-##	####-##-##
5173	15	4973	####-##-##	2016-##-##
7902	17	6155	1987-##-##	1987-##-##
1616	1	1597	2015-##-##	####-##-##
2575	9	2480	1996-##-##	####-##-##
1467	1	125	1790-##-##	1871-##-##
4178	14	4164	2005-##-##	2007-##-##
9401	23	12508	####-##-##	1922-##-##
1172	1	953	1790-##-##	1871-##-##
3440	14	3442	1628-##-##	1633-##-##
8421	17	6213	1988-##-##	1988-##-##
5248	15	4971	2017-##-##	####-##-##
6119	17	6647	1981-##-##	1981-##-##
270	1	123	1871-##-##	####-##-##
2903	11	3153	1946-##-##	####-##-##
8035	20	8036	2010-##-##	2010-##-##
5147	15	4971	2017-##-##	####-##-##
2395	14	4038	2003-##-##	2007-##-##
11467	22	11161	2013-##-##	2014-##-##
1237	1	129	1790-##-##	1871-##-##
6595	17	6596	1972-##-##	1972-##-##
2539	9	2482	1846-##-##	####-##-##
923	1	866	2015-##-##	####-##-##
2574	17	8435	1956-##-##	1956-##-##
4448	14	3822	2000-##-##	2011-##-##
9027	17	6008	1952-##-##	1952-##-##
3063	10	2924	1930-##-##	1941-##-##
2129	6	30	####-##-##	1917-##-##
3130	11	3131	1906-##-##	1931-##-##
2950	10	2951	1941-##-##	1945-##-##
655	1	419	####-##-##	2015-##-##
346	1	257	2017-##-##	####-##-##
6973	23	12501	####-##-##	1957-##-##
11638	22	11153	2009-##-##	2009-##-##
979	1	125	1790-##-##	1871-##-##
4972	15	4971	2016-##-##	####-##-##
1578	1	750	2016-##-##	####-##-##
988	1	989	1990-##-##	2007-##-##
814	1	1001	####-##-##	2016-##-##
1268	1	1210	1871-##-##	1920-##-##
7940	20	9301	2008-##-##	2008-##-##
156	1	122	1790-##-##	1871-##-##
3143	14	4196	1994-##-##	2005-##-##
130	1	131	####-##-##	2015-##-##
8471	17	6596	1997-##-##	1997-##-##
6701	17	6702	1935-##-##	1935-##-##
1844	9	2506	1879-##-##	1881-##-##
3309	13	3255	1987-##-##	####-##-##
5238	15	5088	####-##-##	1972-##-##
823	1	241	1968-##-##	####-##-##
751	1	411	####-##-##	2016-##-##
8336	17	5804	1987-##-##	1987-##-##
802	1	123	1871-##-##	####-##-##
7115	17	7116	1997-##-##	1997-##-##
7658	17	6632	2015-##-##	2015-##-##
691	1	123	1871-##-##	####-##-##
1046	1	148	1790-##-##	1968-##-##
2105	6	2027	1918-##-##	####-##-##
11318	22	9840	1964-##-##	1970-##-##
5342	15	4971	2017-##-##	####-##-##
194	1	148	1790-##-##	1968-##-##
8990	17	7832	1941-##-##	1941-##-##
1066	1	862	2015-##-##	####-##-##
7364	17	7365	1975-##-##	1975-##-##
7951	17	6481	1966-##-##	1966-##-##
5611	16	5625	2015-##-##	2015-##-##
4335	14	3437	1885-##-##	1886-##-##
7772	17	7778	2004-##-##	2004-##-##
2778	9	2779	1984-##-##	1984-##-##
6228	17	6230	1995-##-##	1995-##-##
4534	14	4535	1876-##-##	1898-##-##
2521	9	2482	1865-##-##	####-##-##
2894	9	2482	1898-##-##	####-##-##
3773	14	3757	1979-##-##	1981-##-##
3713	14	3714	1834-##-##	1836-##-##
7297	17	7298	1980-##-##	1980-##-##
5195	15	5113	1976-##-##	####-##-##
4243	14	3450	1990-##-##	2014-##-##
6558	17	6559	1960-##-##	1960-##-##
1625	1	1596	####-##-##	2014-##-##
5895	17	5897	1994-##-##	1994-##-##
1583	1	123	1871-##-##	####-##-##
7498	17	7499	1981-##-##	1981-##-##
5033	15	4973	####-##-##	2015-##-##
5722	16	5557	1985-##-##	1985-##-##
8478	17	8176	2000-##-##	2000-##-##
1274	1	1210	1871-##-##	1920-##-##
436	1	437	2015-##-##	####-##-##
9430	20	6150	1981-##-##	1981-##-##
8927	17	6133	1993-##-##	1993-##-##
8980	17	6764	1953-##-##	1953-##-##
6610	17	6611	2009-##-##	2009-##-##
5128	15	4973	####-##-##	2016-##-##
8913	17	6807	1975-##-##	1975-##-##
8081	17	8091	2013-##-##	2013-##-##
9278	20	8111	2007-##-##	2007-##-##
5665	16	5675	2005-##-##	2005-##-##
6931	17	6933	2013-##-##	2013-##-##
1716	2	1671	1952-##-##	####-##-##
502	18	9147	####-##-##	2014-##-##
5085	15	4971	2016-##-##	####-##-##
3290	13	3252	1965-##-##	####-##-##
9516	21	9442	1936-##-##	1936-##-##
9129	17	6324	2000-##-##	####-##-##
1951	5	1953	1992-##-##	####-##-##
5017	15	4971	2017-##-##	####-##-##
2631	17	7595	1984-##-##	1984-##-##
5315	15	5189	1972-##-##	####-##-##
11215	22	5157	1984-##-##	1984-##-##
4248	14	4249	2002-##-##	2010-##-##
8673	17	6038	1982-##-##	1982-##-##
1469	1	1450	1997-##-##	####-##-##
633	1	634	2015-##-##	####-##-##
1024	1	123	1871-##-##	####-##-##
2346	8	2347	1977-##-##	1987-##-##
4344	14	3457	2005-##-##	2010-##-##
8239	20	9257	2013-##-##	2013-##-##
8992	17	8995	1993-##-##	1993-##-##
2860	14	3481	2003-##-##	2004-##-##
674	1	123	1871-##-##	####-##-##
2890	9	2515	1981-##-##	1998-##-##
8749	20	5722	1948-##-##	1948-##-##
8349	17	6213	1988-##-##	1988-##-##
955	1	589	1930-##-##	1938-##-##
4325	14	3587	1948-##-##	1954-##-##
5678	16	5684	1952-##-##	1952-##-##
3744	14	3729	1847-##-##	1849-##-##
11626	22	11627	1989-##-##	1990-##-##
6080	17	6081	1979-##-##	1979-##-##
8398	17	8403	1963-##-##	1963-##-##
4592	14	3431	1958-##-##	1962-##-##
4883	14	3918	2009-##-##	2009-##-##
1980	5	1981	1968-##-##	####-##-##
10352	22	5109	2000-##-##	2005-##-##
4937	14	3456	2010-##-##	2015-##-##
141	1	122	1790-##-##	1871-##-##
5290	15	4973	####-##-##	2016-##-##
1355	1	953	1790-##-##	1871-##-##
4143	14	4135	1994-##-##	1996-##-##
4896	14	3431	1993-##-##	1996-##-##
3644	14	3646	1973-##-##	1983-##-##
5231	15	4973	####-##-##	2016-##-##
9352	20	9173	2014-##-##	2014-##-##
4104	14	3690	1870-##-##	1871-##-##
3214	14	4350	1849-##-##	1857-##-##
8027	17	5836	2006-##-##	2006-##-##
3763	14	3765	1846-##-##	1847-##-##
1472	1	336	2015-##-##	####-##-##
4235	14	4093	2004-##-##	2007-##-##
8762	17	6471	2005-##-##	2005-##-##
7642	17	6985	2011-##-##	2011-##-##
8188	17	7226	1962-##-##	1962-##-##
1622	1	1596	####-##-##	2014-##-##
1968	5	1953	1991-##-##	####-##-##
4517	14	3690	1851-##-##	1870-##-##
6168	17	5817	1921-##-##	####-##-##
3239	12	2041	####-##-##	1990-##-##
1562	1	764	####-##-##	2016-##-##
1520	1	210	1968-##-##	####-##-##
12337	22	5583	2004-##-##	####-##-##
5989	22	11183	1990-##-##	1992-##-##
4413	14	4414	1937-##-##	1938-##-##
5553	16	5562	1998-##-##	1998-##-##
4082	14	3495	1937-##-##	1961-##-##
4334	14	3423	2007-##-##	####-##-##
4703	14	4704	2006-##-##	2009-##-##
9258	20	7092	1928-##-##	1928-##-##
7906	17	7914	2007-##-##	2007-##-##
8610	17	8387	2012-##-##	2012-##-##
3594	14	3596	1966-##-##	1967-##-##
3533	14	3473	1997-##-##	2001-##-##
75	1	76	####-##-##	2015-##-##
5628	20	8515	1995-##-##	1995-##-##
2824	9	2825	1916-##-##	####-##-##
256	1	257	2017-##-##	####-##-##
5455	16	5450	1996-##-##	1996-##-##
1642	1	122	1790-##-##	1871-##-##
431	1	189	####-##-##	2015-##-##
6390	20	9191	2005-##-##	2005-##-##
1649	1	148	1892-##-##	1968-##-##
2528	9	2529	1915-##-##	1915-##-##
8843	17	8844	2005-##-##	2005-##-##
6489	17	6492	1979-##-##	1979-##-##
232	1	233	2015-##-##	####-##-##
7490	17	6345	1985-##-##	1985-##-##
4612	14	3444	2003-##-##	2009-##-##
5410	16	5414	1981-##-##	1981-##-##
2808	9	2517	1867-##-##	####-##-##
1867	10	2948	1989-##-##	1993-##-##
498	1	499	####-##-##	2015-##-##
3787	14	3788	1871-##-##	1872-##-##
8965	20	7546	1998-##-##	1998-##-##
1235	1	1210	1871-##-##	1920-##-##
4266	17	6543	2001-##-##	2001-##-##
9289	20	6706	1912-##-##	1912-##-##
7745	17	7594	2002-##-##	2002-##-##
215	1	190	2015-##-##	####-##-##
6496	17	6498	1976-##-##	1976-##-##
5227	15	4973	####-##-##	2015-##-##
5422	16	5423	1996-##-##	1996-##-##
7000	17	7002	1979-##-##	1979-##-##
8978	17	5816	1908-##-##	1908-##-##
4380	14	3447	1281-##-##	1288-##-##
5287	15	4971	2017-##-##	####-##-##
8467	17	8364	2008-##-##	2008-##-##
3642	17	6059	1991-##-##	1991-##-##
4092	14	4285	2011-##-##	2011-##-##
475	1	148	1790-##-##	1968-##-##
902	1	866	2015-##-##	####-##-##
5729	16	2469	2005-##-##	2005-##-##
11950	22	10573	2012-##-##	2012-##-##
1662	1	126	1871-##-##	1920-##-##
3168	17	6737	2014-##-##	2014-##-##
6343	17	6345	1988-##-##	1988-##-##
7657	17	6416	1986-##-##	1986-##-##
6879	17	6066	1940-##-##	1940-##-##
1941	5	1942	2010-##-##	####-##-##
10506	22	9903	2009-##-##	####-##-##
1131	1	1132	1816-##-##	1952-##-##
7906	17	7916	2003-##-##	2003-##-##
3664	17	6088	2001-##-##	2001-##-##
12380	22	10538	2008-##-##	2008-##-##
981	1	334	2015-##-##	####-##-##
1229	1	129	1790-##-##	1871-##-##
2773	14	3463	1868-##-##	1872-##-##
2106	16	5734	1954-##-##	1954-##-##
8601	17	8295	1993-##-##	1993-##-##
962	1	163	1790-##-##	1968-##-##
1406	1	1407	2016-##-##	####-##-##
7603	17	6322	1980-##-##	1980-##-##
5228	15	4973	####-##-##	2015-##-##
2845	14	3956	1868-##-##	####-##-##
293	1	294	####-##-##	2015-##-##
7210	17	7213	1979-##-##	1979-##-##
1687	2	1672	1950-##-##	####-##-##
3535	14	3454	2017-##-##	####-##-##
4221	14	3586	1959-##-##	1965-##-##
8776	20	7791	1953-##-##	1953-##-##
21	1	37	2015-##-##	####-##-##
5678	16	5682	1944-##-##	1944-##-##
298	15	4990	1990-##-##	####-##-##
4733	14	3496	1919-##-##	1923-##-##
1126	1	210	1968-##-##	####-##-##
1647	1	123	1871-##-##	####-##-##
7327	17	7328	2003-##-##	2003-##-##
7959	17	7960	1998-##-##	1998-##-##
5596	16	5599	1984-##-##	1984-##-##
9384	20	7792	1998-##-##	1998-##-##
9452	21	9453	1873-##-##	1873-##-##
